,forwardPE,beta,priceToBook,priceToSales,dividendYield,trailingEps,debtToEquity,currentRatio,quickRatio,returnOnEquity,returnOnAssets,operatingMargins,profitMargins
Apple,25.397112,1.178,47.555202,,0.48,6.29,145.0,0.923,0.783,1.3652,0.22518998,0.34459,0.24295
Microsoft,25.64683,0.914,9.417864,,0.88,12.42,33.998,1.351,1.204,0.34291,0.14649001,0.45458,0.35428002
Amazon,32.040535,1.192,7.2992034,,,5.53,54.342,1.064,0.837,0.24290001,0.07438,0.11291,0.09287
Alphabet,18.239954,1.025,6.1389074,,0.49,8.04,8.655,1.837,1.661,0.32908002,0.1674,0.33967,0.28604
Meta,23.741108,1.231,8.333681,,0.36,23.86,27.25,2.978,2.822,0.37140998,0.16863,0.45278,0.37909
Tesla,75.11729,2.507,10.734827,,,2.05,18.489,2.025,1.427,0.1042,0.04186,0.06158,0.07259
NVIDIA,29.222088,1.765,37.147484,,0.03,2.94,12.946,4.44,3.672,1.1917701,0.57417,0.61107,0.55848
Samsung,8.963557,0.739,,,2.65,,4.806,2.433,1.778,0.08997,0.042150002,0.08564,0.11175
Tencent,17.970976,0.568,0.6894702,,0.65,2.2,35.661,1.285,1.0,0.19083999,0.07692,0.31899,0.26403
Alibaba,14.199503,0.272,0.3240269,,1.45,6.89,24.142,1.482,0.991,0.102740005,0.0504,0.17134,0.12316
IBM,23.233742,0.734,8.36194,,2.72,6.42,213.179,1.04,0.875,0.24057,0.03063,0.19672,0.095979996
Intel,24.628864,1.018,1.0420483,,2.24,-4.38,48.277,1.327,0.938,-0.17891,-0.01233,-0.18548,-0.35321
Oracle,20.981146,1.066,25.167534,,1.35,4.27,632.501,1.017,0.873,1.03741,0.073460005,0.31295002,0.21799
Sony,20.147058,0.725,0.017648168,,0.53,1.25,51.356,0.682,0.486,0.14321,0.02555,0.107370004,0.082049996
Adobe,18.72798,1.37,12.814143,,,15.15,50.118,1.185,1.027,0.47284,0.17194,0.37854,0.30635
Netflix,38.33852,1.377,15.760913,,,19.85,72.726,1.218,1.076,0.38435,0.12720999,0.22181,0.22337
AMD,19.719236,1.736,2.8335428,,,1.0,4.032,2.616,1.657,0.02893,0.019019999,0.13803001,0.06364
Qualcomm,12.679069,1.289,6.376815,,2.24,9.27,54.23,2.619,1.794,0.41968,0.12626,0.30465,0.25936002
Cisco,15.4051285,0.776,5.2480783,,2.75,2.28,71.21,0.867,0.659,0.20019,0.065560006,0.22320999,0.16958
JP Morgan,13.798686,1.09,1.9901608,,2.22,19.75,,,,0.17386,0.014839999,0.42988,0.3506
Goldman Sachs,12.879931,1.362,1.5970892,,2.29,40.52,611.106,1.504,1.352,0.11913,0.00861,0.37853,0.27368
Visa,26.086098,0.949,17.26707,,0.72,9.92,53.815,1.121,0.708,0.51191,0.16712,0.68665004,0.54269004
Johnson & Johnson,15.266038,0.463,5.448118,,3.04,5.79,52.922,1.111,0.782,0.20056,0.08126,0.18153,0.15836
Pfizer,8.747475,0.543,1.6467553,,6.72,1.41,76.181,1.171,0.82,0.09057,0.0464,0.15903,0.12622
ExxonMobil,14.035578,0.802,1.823374,,3.64,7.84,17.852,1.308,0.949,0.14515,0.062459998,0.085159995,0.09889
ASML,27.009924,1.113,13.901364,,1.15,19.27,27.41,1.533,0.91,0.47427,0.12737,0.36224,0.26790002
SAP,39.104237,0.9,6.164155,,0.99,2.65,22.164,1.122,0.987,0.07062,0.071440004,0.25794,0.091409996
Siemens,27.237928,1.178,3.0599148,,2.3,9.31,76.939,1.537,0.917,0.14071,0.03898,0.11246,0.12564999
Louis Vuitton (LVMH),20.721897,0.996,4.458448,,2.15,25.11,59.613,1.409,0.664,0.19635001,0.08356,0.20743999,0.14819999
TotalEnergies,7.6662216,0.69,1.0952998,,5.95,6.15,45.088,1.098,0.592,0.13375,0.05657,0.13771,0.08056
Shell,8.498371,0.408,89.47801,,4.27,1.95,42.782,1.346,0.894,0.089650005,0.053790003,0.099259995,0.056599997
Baidu,8.470207,0.469,0.12360043,,,9.08,27.969,2.086,1.709,0.088520005,0.03186,0.11479,0.17848
JD.com,10.374396,0.437,0.2604672,,2.42,3.7,28.653,1.291,0.883,0.14649999,0.03727,0.026870001,0.03569
BYD,31.786623,0.588,1.8678418,,0.92,3.21,29.263,0.707,0.42,0.22760999,0.03612,0.07796,0.0497
ICBC,5.2314816,0.225,0.5629733,,8.85,1.05,,,,0.09625,0.0078799995,0.64721,0.55954
Toyota,11.780735,0.302,0.06779478,,2.84,25.8,107.389,1.215,1.018,0.14547,0.03349,0.098079994,0.109060004
SoftBank,26.536625,0.768,0.93846685,,0.57,580.15,137.406,0.765,0.573,0.105500005,0.00811,0.08754,0.122889996
Nintendo,8.112149,0.19,0.0075092027,,1.52,0.46,,4.446,3.758,0.12366,0.06039,0.29124,0.25927
Hyundai,,1.053,0.00010246889,,5.79,16.8,131.158,1.456,1.16,0.12202,0.0286,0.06053,0.071490005
Reliance Industries,17.368128,0.651,2.060693,,0.4,51.16,37.464,,,,,0.12753999,0.07362
Tata Consultancy Services,22.6988,0.477,11.602443,,1.65,134.82,8.469,2.624,2.415,0.48668998,0.24497999,0.24474001,0.19344
